0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:08:54 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:11:13 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:11:14 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:11:15 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:11:31 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:14:12 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:14:14 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:14:14 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:14:15 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:14:15 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:14:15 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:14:31 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:15:40 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:15:41 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:16:04 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:22:15 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:24:32 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [27/Dec/2018:12:24:56 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 801
